Country,Unemployment,GovExp,Education,GDP,PopGrowth,Agri,Inflation,EmployAgri,EmployInd,EmployServ
Argentina,7.21999979,5.345829964,34.16389847,10557.88539,1.050376222,5.781744207,10.03025902,0.615999997,23.65600014,75.72799683
Armenia,17.30999947,2.772480011,32.45000076,3606.480554,0.220269188,17.91268195,2.5554709,37.27600098,17.69199944,45.0320015
Australia,5.21999979,4.894189835,57.88000107,53553.23394,1.78544535,2.258752004,1.762780156,2.799999952,20.71899986,76.48100281
Austria,4.869999886,5.480400085,31.27059937,48172.2377,0.455937472,1.34855139,2.485675087,4.675000191,26.07999992,69.24500275
Bolivia,2.049999952,6.42524004,45.0401001,2122.384564,1.581548505,9.812161627,4.586374696,27.79100037,20.59799957,51.61100006
Brazil,7.190000057,5.855100155,47.11449814,11673.77054,0.938920327,4.168328224,5.40196475,11.49600029,23.01399994,65.48999786
Bulgaria,12.27000046,3.502029896,18.45940018,7062.134977,-0.579220596,4.559557243,2.954568298,6.440000057,31.3220005,62.23799896
Cambodia,0.159999996,1.56269002,75.89299774,874.1614887,1.630478022,33.51960361,2.932724618,33.24599838,25.24200058,41.51100159
Colombia,9.81000042,4.385310173,48.87269974,6789.525501,1.017992635,5.788720944,3.176934374,17.48399925,20.59499931,61.92100143
Costa Rica,9.899999619,6.68983984,40.2052002,8753.225624,1.159393688,5.40932984,4.504067692,10.27900028,18.17300034,71.54799652
Cote d'Ivoire,2.914000034,4.61108017,61.09159851,1229.7782,2.473506374,22.53255719,1.304511199,48.29899979,6.197999954,45.50299835
Czech Republic,6.980000019,4.250860214,17.71030045,19929.76407,0.139925656,2.349706102,3.299073139,3.049999952,38.1230011,58.82699966
Denmark,7.53000021,7.237820148,38.33549881,58487.78637,0.376272243,1.654721209,2.397914857,2.594000101,19.70899963,77.6969986
Ecuador,3.230000019,4.643070221,40.66070175,5140.262907,1.583919336,8.642412749,5.10065348,27.9810009,17.52000046,54.49900055
El Salvador,3.849999905,3.334009886,44.8348999,3164.968873,0.462163676,6.514348326,1.729577995,20.96999931,20.97900009,58.04999924
Estonia,10.02000046,4.712930202,25.85350037,16538.2126,-0.357944411,3.193581486,3.934921578,4.493000031,31.10400009,64.40299988
Euro area,11.28254318,5.461319923,30.01025062,37865.39869,0.224006789,1.531390228,2.485675087,3.499858675,24.47443869,72.02568446
Europe & Central Asia,8.977806015,4.933310032,28.86458054,24014.35613,0.401876176,1.964303261,2.790835434,9.99391174,25.56859951,64.43752814
Europe & Central Asia (excluding high income),7.270906038,3.903880119,24.05161345,8472.652909,0.547739113,5.381165601,3.317185846,17.43161,27.08154835,55.48682539
European Union,10.41141169,4.946400166,30.66748651,34059.02927,0.218678053,1.499200263,2.718769045,4.968884071,24.68011604,70.35106319
Finland,7.690000057,7.192540169,24.01959991,46277.55628,0.475809487,2.358941504,2.808332326,4.159999847,22.78499985,73.05500031
France,9.399999619,5.461319923,28.72999954,41158.88498,0.483982312,1.631795037,1.9556855,2.91899991,21.76000023,75.32099915
"Gambia, The",9.420000076,4.101180077,40.68479919,533.7780443,3.143118456,20.34344627,4.254534775,30.53899956,15.90699959,53.55400085
